cut;comuna;region;n_region;provincia;lat;lon
01101;Iquique;Tarapacá;2;Iquique;-20.461762;-70.129930
01107;Alto Hospicio;Tarapacá;2;Iquique;-20.273272;-70.093505
01401;Pozo Almonte;Tarapacá;2;Tamarugal;-20.220637;-69.554055
01402;Camiña;Tarapacá;2;Tamarugal;-19.312742;-69.427210
01403;Colchane;Tarapacá;2;Tamarugal;-19.276383;-68.637933
01404;Huara;Tarapacá;2;Tamarugal;-19.795965;-69.989401
01405;Pica;Tarapacá;2;Tamarugal;-20.353151;-68.877888
02101;Antofagasta;Antofagasta;3;Antofagasta;-23.699520;-70.178068
02102;Mejillones;Antofagasta;3;Antofagasta;-23.010309;-70.369377
02103;Sierra Gorda;Antofagasta;3;Antofagasta;-23.111431;-69.580088
02104;Taltal;Antofagasta;3;Antofagasta;-25.409073;-70.229464
02201;Calama;Antofagasta;3;El Loa;-22.302436;-68.522297
02202;Ollagüe;Antofagasta;3;El Loa;-21.474349;-68.263648
02203;San Pedro de Atacama;Antofagasta;3;El Loa;-23.104835;-67.926470
02301;Tocopilla;Antofagasta;3;Tocopilla;-22.092971;-70.200411
02302;María Elena;Antofagasta;3;Tocopilla;-21.986173;-69.604603
03101;Copiapó;Atacama;4;Copiapó;-27.314896;-70.089728
03102;Caldera;Atacama;4;Copiapó;-27.069609;-70.820412
03103;Tierra Amarilla;Atacama;4;Copiapó;-27.650289;-70.187151
03201;Chañaral;Atacama;4;Chañaral;-26.384707;-70.469357
03202;Diego de Almagro;Atacama;4;Chañaral;-26.463683;-69.860178
03301;Vallenar;Atacama;4;Huasco;-28.670710;-70.797369
03302;Alto del Carmen;Atacama;4;Huasco;-28.884689;-70.345174
03303;Freirina;Atacama;4;Huasco;-28.508562;-71.078733
03304;Huasco;Atacama;4;Huasco;-28.462709;-71.224966
04101;La Serena;Coquimbo;5;Elqui;-29.900980;-71.251823
04102;Coquimbo;Coquimbo;5;Elqui;-30.046166;-71.363767
04103;Andacollo;Coquimbo;5;Elqui;-30.233414;-71.081948
04104;La Higuera;Coquimbo;5;Elqui;-29.510620;-71.200341
04105;Paiguano;Coquimbo;5;Elqui;-30.076321;-70.505276
04106;Vicuña;Coquimbo;5;Elqui;-29.997207;-70.585607
04201;Illapel;Coquimbo;5;Choapa;-31.633153;-71.167590
04202;Canela;Coquimbo;5;Choapa;-31.550436;-71.489338
04203;Los Vilos;Coquimbo;5;Choapa;-32.027918;-71.518349
04204;Salamanca;Coquimbo;5;Choapa;-31.841500;-70.870134
04301;Ovalle;Coquimbo;5;Limarí;-30.587474;-71.366827
04302;Combarbalá;Coquimbo;5;Limarí;-31.134745;-70.978442
04303;Monte Patria;Coquimbo;5;Limarí;-30.817697;-70.831822
04304;Punitaqui;Coquimbo;5;Limarí;-30.833185;-71.257742
04305;Río Hurtado;Coquimbo;5;Limarí;-30.336244;-70.770000
05101;Valparaíso;Valparaíso;6;Valparaíso;-33.062956;-71.606842
05102;Casablanca;Valparaíso;6;Valparaíso;-33.258419;-71.552692
05103;Concón;Valparaíso;6;Valparaíso;-32.922391;-71.512939
05104;Juan Fernández;Valparaíso;6;Valparaíso;-33.639218;-78.830510
05105;Puchuncaví;Valparaíso;6;Valparaíso;-32.706273;-71.452770
05107;Quintero;Valparaíso;6;Valparaíso;-32.787490;-71.528013
05109;Viña del Mar;Valparaíso;6;Valparaíso;-33.017750;-71.549123
05201;Isla de Pascua;Valparaíso;6;Isla de Pascua;-27.160774;-109.436996
05301;Los Andes;Valparaíso;6;Los Andes;-32.860929;-70.329239
05302;Calle Larga;Valparaíso;6;Los Andes;-32.855668;-70.626744
05303;Rinconada;Valparaíso;6;Los Andes;-32.832811;-70.688712
05304;San Esteban;Valparaíso;6;Los Andes;-32.799710;-70.580331
05401;La Ligua;Valparaíso;6;Petorca;-32.374885;-71.311514
05402;Cabildo;Valparaíso;6;Petorca;-32.387321;-70.925348
05403;Papudo;Valparaíso;6;Petorca;-32.471147;-71.382982
05404;Petorca;Valparaíso;6;Petorca;-32.237407;-70.886928
05405;Zapallar;Valparaíso;6;Petorca;-32.567055;-71.394532
05501;Quillota;Valparaíso;6;Quillota;-32.907849;-71.262108
05502;Calera;Valparaíso;6;Quillota;-32.784180;-71.190474
05503;Hijuelas;Valparaíso;6;Quillota;-32.801736;-71.149620
05504;La Cruz;Valparaíso;6;Quillota;-32.847344;-71.232483
05506;Nogales;Valparaíso;6;Quillota;-32.714979;-71.206506
05601;San Antonio;Valparaíso;6;San Antonio;-33.635447;-71.566109
05602;Algarrobo;Valparaíso;6;San Antonio;-33.365514;-71.669220
05603;Cartagena;Valparaíso;6;San Antonio;-33.547853;-71.597927
05604;El Quisco;Valparaíso;6;San Antonio;-33.397785;-71.694346
05605;El Tabo;Valparaíso;6;San Antonio;-33.475831;-71.640539
05606;Santo Domingo;Valparaíso;6;San Antonio;-33.633942;-71.610820
05701;San Felipe;Valparaíso;6;San Felipe de Aconcagua;-32.764836;-70.713830
05702;Catemu;Valparaíso;6;San Felipe de Aconcagua;-32.778901;-70.962051
05703;Llaillay;Valparaíso;6;San Felipe de Aconcagua;-32.847048;-70.948021
05704;Panquehue;Valparaíso;6;San Felipe de Aconcagua;-32.769539;-70.833897
05705;Putaendo;Valparaíso;6;San Felipe de Aconcagua;-32.599673;-70.694845
05706;Santa María;Valparaíso;6;San Felipe de Aconcagua;-32.748690;-70.657780
05801;Quilpué;Valparaíso;6;Marga Marga;-33.050765;-71.421819
05802;Limache;Valparaíso;6;Marga Marga;-32.986172;-71.278589
05803;Olmué;Valparaíso;6;Marga Marga;-32.998334;-71.187728
05804;Villa Alemana;Valparaíso;6;Marga Marga;-33.043330;-71.370980
06101;Rancagua;Libertador General Bernardo O'Higgins;8;Cachapoal;-34.167920;-70.732194
06102;Codegua;Libertador General Bernardo O'Higgins;8;Cachapoal;-34.039134;-70.668214
06103;Coinco;Libertador General Bernardo O'Higgins;8;Cachapoal;-34.287759;-70.987148
06104;Coltauco;Libertador General Bernardo O'Higgins;8;Cachapoal;-34.303334;-71.110555
06105;Doñihue;Libertador General Bernardo O'Higgins;8;Cachapoal;-34.205948;-70.931461
06106;Graneros;Libertador General Bernardo O'Higgins;8;Cachapoal;-34.069323;-70.723299
06107;Las Cabras;Libertador General Bernardo O'Higgins;8;Cachapoal;-34.231906;-71.384934
06108;Machalí;Libertador General Bernardo O'Higgins;8;Cachapoal;-34.207465;-70.540523
06109;Malloa;Libertador General Bernardo O'Higgins;8;Cachapoal;-34.454690;-70.920947
06110;Mostazal;Libertador General Bernardo O'Higgins;8;Cachapoal;-33.983752;-70.707906
06111;Olivar;Libertador General Bernardo O'Higgins;8;Cachapoal;-34.204799;-70.788815
06112;Peumo;Libertador General Bernardo O'Higgins;8;Cachapoal;-34.361402;-71.206350
06113;Pichidegua;Libertador General Bernardo O'Higgins;8;Cachapoal;-34.386854;-71.257844
06114;Quinta de Tilcoco;Libertador General Bernardo O'Higgins;8;Cachapoal;-34.354422;-70.990806
06115;Rengo;Libertador General Bernardo O'Higgins;8;Cachapoal;-34.397063;-70.822925
06116;Requínoa;Libertador General Bernardo O'Higgins;8;Cachapoal;-34.254956;-70.802250
06117;San Vicente;Libertador General Bernardo O'Higgins;8;Cachapoal;-34.426311;-71.052938
06201;Pichilemu;Libertador General Bernardo O'Higgins;8;Cardenal Caro;-34.388488;-72.002123
06202;La Estrella;Libertador General Bernardo O'Higgins;8;Cardenal Caro;-34.205005;-71.654148
06203;Litueche;Libertador General Bernardo O'Higgins;8;Cardenal Caro;-34.076622;-71.656759
06204;Marchihue;Libertador General Bernardo O'Higgins;8;Cardenal Caro;-34.398521;-71.618817
06205;Navidad;Libertador General Bernardo O'Higgins;8;Cardenal Caro;-33.947954;-71.783294
06206;Paredones;Libertador General Bernardo O'Higgins;8;Cardenal Caro;-34.709091;-71.868308
06301;San Fernando;Libertador General Bernardo O'Higgins;8;Colchagua;-34.655247;-70.860370
06302;Chépica;Libertador General Bernardo O'Higgins;8;Colchagua;-34.728519;-71.272987
06303;Chimbarongo;Libertador General Bernardo O'Higgins;8;Colchagua;-34.704899;-70.992979
06304;Lolol;Libertador General Bernardo O'Higgins;8;Colchagua;-34.728090;-71.647504
06305;Nancagua;Libertador General Bernardo O'Higgins;8;Colchagua;-34.649918;-71.206373
06306;Palmilla;Libertador General Bernardo O'Higgins;8;Colchagua;-34.522688;-71.375852
06307;Peralillo;Libertador General Bernardo O'Higgins;8;Colchagua;-34.465388;-71.512605
06308;Placilla;Libertador General Bernardo O'Higgins;8;Colchagua;-34.635906;-71.119819
06309;Pumanque;Libertador General Bernardo O'Higgins;8;Colchagua;-34.599463;-71.652971
06310;Santa Cruz;Libertador General Bernardo O'Higgins;8;Colchagua;-34.640928;-71.365071
07101;Talca;Maule;9;Talca;-35.431791;-71.649026
07102;Constitución;Maule;9;Talca;-35.331484;-72.325213
07103;Curepto;Maule;9;Talca;-35.152007;-71.897618
07104;Empedrado;Maule;9;Talca;-35.590852;-72.281092
07105;Maule;Maule;9;Talca;-35.517609;-71.675800
07106;Pelarco;Maule;9;Talca;-35.383324;-71.446237
07107;Pencahue;Maule;9;Talca;-35.374501;-71.813986
07108;Río Claro;Maule;9;Talca;-35.221207;-71.322941
07109;San Clemente;Maule;9;Talca;-35.648900;-71.178078
07110;San Rafael;Maule;9;Talca;-35.312093;-71.528089
