cut;comuna;crs;origen;confianza;fuente;nota
01101;Iquique;iquique;explicita;alta;gendarmeria.gob.cl/horarios1.html;
01107;Alto Hospicio;alto-hospicio;explicita;alta;gendarmeria.gob.cl/horarios1.html;
01401;Pozo Almonte;alto-hospicio;explicita;alta;gendarmeria.gob.cl/horarios1.html;
01402;Camiña;alto-hospicio;explicita;alta;gendarmeria.gob.cl/horarios1.html;
01403;Colchane;alto-hospicio;explicita;alta;gendarmeria.gob.cl/horarios1.html;
01404;Huara;alto-hospicio;explicita;alta;gendarmeria.gob.cl/horarios1.html;
01405;Pica;alto-hospicio;explicita;alta;gendarmeria.gob.cl/horarios1.html;
02101;Antofagasta;antofagasta;explicita;alta;gendarmeria.gob.cl/horarios1.html;
02102;Mejillones;antofagasta;explicita;alta;gendarmeria.gob.cl/horarios1.html;
02103;Sierra Gorda;antofagasta;explicita;alta;gendarmeria.gob.cl/horarios1.html;
02104;Taltal;antofagasta;explicita;alta;gendarmeria.gob.cl/horarios1.html;
02201;Calama;calama;explicita;alta;gendarmeria.gob.cl/horarios1.html;
02202;Ollagüe;calama;explicita;alta;gendarmeria.gob.cl/horarios1.html;
02203;San Pedro de Atacama;calama;explicita;alta;gendarmeria.gob.cl/horarios1.html;
02301;Tocopilla;antofagasta;explicita;alta;gendarmeria.gob.cl/horarios1.html;
02302;María Elena;antofagasta;explicita;alta;gendarmeria.gob.cl/horarios1.html;
03101;Copiapó;copiapo;explicita;alta;gendarmeria.gob.cl/horarios1.html;
03102;Caldera;copiapo;explicita;alta;gendarmeria.gob.cl/horarios1.html;
03103;Tierra Amarilla;copiapo;explicita;alta;gendarmeria.gob.cl/horarios1.html;
03201;Chañaral;copiapo;explicita;alta;gendarmeria.gob.cl/horarios1.html;
03202;Diego de Almagro;copiapo;inferida;media;deduccion por provincia;
03301;Vallenar;vallenar;explicita;alta;gendarmeria.gob.cl/horarios1.html;
03302;Alto del Carmen;vallenar;explicita;alta;gendarmeria.gob.cl/horarios1.html;
03303;Freirina;vallenar;explicita;alta;gendarmeria.gob.cl/horarios1.html;
03304;Huasco;vallenar;explicita;alta;gendarmeria.gob.cl/horarios1.html;
04101;La Serena;la-serena;explicita;alta;gendarmeria.gob.cl/horarios1.html;
04102;Coquimbo;la-serena;explicita;alta;gendarmeria.gob.cl/horarios1.html;
04103;Andacollo;la-serena;explicita;alta;gendarmeria.gob.cl/horarios1.html;
04104;La Higuera;la-serena;explicita;alta;gendarmeria.gob.cl/horarios1.html;
04105;Paiguano;la-serena;explicita;alta;gendarmeria.gob.cl/horarios1.html;
04106;Vicuña;la-serena;explicita;alta;gendarmeria.gob.cl/horarios1.html;
04201;Illapel;illapel;explicita;alta;gendarmeria.gob.cl/horarios1.html;
04202;Canela;illapel;explicita;alta;gendarmeria.gob.cl/horarios1.html;
04203;Los Vilos;illapel;explicita;alta;gendarmeria.gob.cl/horarios1.html;
04204;Salamanca;illapel;explicita;alta;gendarmeria.gob.cl/horarios1.html;
04301;Ovalle;ovalle;explicita;alta;gendarmeria.gob.cl/horarios1.html;
04302;Combarbalá;ovalle;explicita;alta;gendarmeria.gob.cl/horarios1.html;
04303;Monte Patria;ovalle;explicita;alta;gendarmeria.gob.cl/horarios1.html;
04304;Punitaqui;ovalle;explicita;alta;gendarmeria.gob.cl/horarios1.html;
